id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task,participant_age,task_id
571,2017-05-05 10:31:23.738558+00:00,"[4, 3, 2, 1]",3,1,27,11,38,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 477, experienced: False, age: 24","id: 3, title: Building geometry and metadata",24,3
722,2017-05-07 15:09:02.655203+00:00,"[4, 1, 2, 3]",3,3,27,19,46,5,4,9,"[10, 11, 12, 13, 14]","[10, 11, 12, 14]","id: 561, experienced: False, age: 21","id: 3, title: Building geometry and metadata",21,3
627,2017-05-05 12:55:37.137227+00:00,"[4, 2, 1, 3]",3,3,29,30,59,6,5,11,"[15, 16, 17, 18, 19, 20]","[15, 17, 18, 19, 20]","id: 513, experienced: False, age: 25","id: 3, title: Building geometry and metadata",25,3
443,2017-05-04 10:11:33.942502+00:00,"[4, 3, 1, 2]",3,1,45,36,81,4,6,10,"[1, 2, 3, 6]","[1, 2, 3, 4, 5, 6]","id: 421, experienced: False, age: 22","id: 3, title: Building geometry and metadata",22,3
221,2017-05-03 07:59:35.034212+00:00,"[4, 2, 1, 3]",3,3,47,36,83,3,5,8,"[10, 11, 12]","[9, 10, 12, 13, 14]","id: 235, experienced: False, age: 24","id: 3, title: Building geometry and metadata",24,3
178,2017-05-02 10:01:06.055626+00:00,"[4, 1, 2, 3]",3,3,46,38,84,5,6,11,"[1, 2, 3, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 220, experienced: False, age: 25","id: 3, title: Building geometry and metadata",25,3
450,2017-05-04 11:28:11.745690+00:00,"[4, 1, 3, 2]",3,2,54,33,87,4,5,9,"[10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 418, experienced: False, age: 32","id: 3, title: Building geometry and metadata",32,3
194,2017-05-02 11:23:09.594181+00:00,"[4, 1, 2, 3]",3,3,46,46,92,4,5,9,"[15, 16, 17, 19]","[15, 17, 18, 19, 20]","id: 226, experienced: False, age: 24","id: 3, title: Building geometry and metadata",24,3
784,2017-05-08 11:50:50.450618+00:00,"[4, 1, 3, 2]",3,2,70,25,95,2,5,7,"[2, 6]","[1, 2, 3, 4, 5]","id: 575, experienced: False, age: 21","id: 3, title: Building geometry and metadata",21,3
241,2017-05-03 09:56:28.072765+00:00,"[4, 2, 3, 1]",3,2,67,33,100,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 248, experienced: False, age: 24","id: 3, title: Building geometry and metadata",24,3
680,2017-05-06 08:15:22.645484+00:00,"[4, 1, 2, 3]",3,3,58,43,101,3,5,8,"[10, 12, 14]","[9, 10, 11, 12, 14]","id: 543, experienced: False, age: 21","id: 3, title: Building geometry and metadata",21,3
816,2017-05-09 13:50:55.535269+00:00,"[4, 1, 3, 2]",3,2,53,52,105,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 601, experienced: False, age: 19","id: 3, title: Building geometry and metadata",19,3
769,2017-05-08 10:18:52.063633+00:00,"[4, 2, 1, 3]",3,3,73,32,105,5,5,10,"[2, 3, 4, 5, 6]","[1, 2, 3, 5, 6]","id: 586, experienced: False, age: 20","id: 3, title: Building geometry and metadata",20,3
633,2017-05-05 13:15:17.494697+00:00,"[4, 3, 2, 1]",3,1,43,64,107,4,3,7,"[2, 4, 5, 6]","[1, 3, 4]","id: 516, experienced: False, age: 45","id: 3, title: Building geometry and metadata",45,3
426,2017-05-04 07:48:20.980368+00:00,"[4, 1, 3, 2]",3,2,59,48,107,5,4,9,"[9, 10, 11, 12, 14]","[9, 10, 13, 14]","id: 409, experienced: False, age: 34","id: 3, title: Building geometry and metadata",34,3
765,2017-05-08 09:27:40.209411+00:00,"[4, 1, 2, 3]",3,3,64,43,107,5,4,9,"[2, 3, 4, 5, 6]","[1, 3, 5, 6]","id: 584, experienced: False, age: 21","id: 3, title: Building geometry and metadata",21,3
639,2017-05-05 13:38:21.116628+00:00,"[4, 2, 1, 3]",3,3,64,46,110,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 489, experienced: False, age: 24","id: 3, title: Building geometry and metadata",24,3
653,2017-05-05 15:29:44.034944+00:00,"[4, 2, 1, 3]",3,3,70,46,116,5,6,11,"[15, 16, 17, 19, 20]","[15, 16, 17, 18, 19, 20]","id: 531, experienced: False, age: 22","id: 3, title: Building geometry and metadata",22,3
664,2017-05-05 19:20:50.645535+00:00,"[4, 2, 3, 1]",3,2,72,50,122,4,5,9,"[10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 536, experienced: False, age: 22","id: 3, title: Building geometry and metadata",22,3
704,2017-05-06 17:00:37.372751+00:00,"[4, 1, 2, 3]",3,3,85,37,122,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 552, experienced: False, age: 25","id: 3, title: Building geometry and metadata",25,3
675,2017-05-06 06:55:24.450464+00:00,"[4, 3, 2, 1]",3,1,81,43,124,5,6,11,"[10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 542, experienced: False, age: 22","id: 3, title: Building geometry and metadata",22,3
198,2017-05-02 11:55:11.191116+00:00,"[4, 1, 2, 3]",3,3,68,56,124,5,6,11,"[9, 10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 209, experienced: False, age: 24","id: 3, title: Building geometry and metadata",24,3
187,2017-05-02 10:48:54.633157+00:00,"[4, 2, 3, 1]",3,2,85,39,124,3,6,9,"[10, 11, 14]","[9, 10, 11, 12, 13, 14]","id: 224, experienced: False, age: 24","id: 3, title: Building geometry and metadata",24,3
444,2017-05-04 10:11:54.615857+00:00,"[4, 2, 3, 1]",3,2,82,44,126,4,4,8,"[2, 3, 4, 5]","[1, 2, 4, 5]","id: 420, experienced: False, age: 22","id: 3, title: Building geometry and metadata",22,3
271,2017-05-03 11:41:20.381027+00:00,"[4, 2, 1, 3]",3,3,86,43,129,4,3,7,"[10, 11, 12, 14]","[9, 10, 13]","id: 264, experienced: False, age: 25","id: 3, title: Building geometry and metadata",25,3
398,2017-05-03 21:15:57.542433+00:00,"[4, 3, 2, 1]",3,1,75,54,129,6,5,11,"[15, 16, 17, 18, 19, 20]","[15, 16, 17, 19, 20]","id: 389, experienced: False, age: 27","id: 3, title: Building geometry and metadata",27,3
757,2017-05-08 08:42:13.747225+00:00,"[4, 3, 1, 2]",3,1,88,46,134,6,4,10,"[15, 16, 17, 18, 19, 20]","[16, 18, 19, 20]","id: 579, experienced: False, age: 19","id: 3, title: Building geometry and metadata",19,3
201,2017-05-02 13:47:44.183761+00:00,"[4, 1, 3, 2]",3,2,72,62,134,4,3,7,"[10, 11, 12, 14]","[9, 13, 14]","id: 227, experienced: False, age: 30","id: 3, title: Building geometry and metadata",30,3
713,2017-05-07 11:41:05.917661+00:00,"[4, 2, 3, 1]",3,2,48,88,136,5,5,10,"[15, 16, 17, 18, 19]","[15, 17, 18, 19, 20]","id: 559, experienced: False, age: 22","id: 3, title: Building geometry and metadata",22,3
164,2017-05-02 09:42:18.929792+00:00,"[4, 2, 3, 1]",3,2,95,46,141,4,4,8,"[15, 16, 17, 19]","[15, 18, 19, 20]","id: 210, experienced: False, age: 23","id: 3, title: Building geometry and metadata",23,3
829,2017-05-10 07:53:26.350567+00:00,"[4, 1, 2, 3]",3,3,100,48,148,5,3,8,"[1, 2, 3, 5, 6]","[1, 3, 4]","id: 604, experienced: False, age: 44","id: 3, title: Building geometry and metadata",44,3
781,2017-05-08 11:11:51.289874+00:00,"[4, 1, 2, 3]",3,3,101,51,152,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5]","id: 590, experienced: False, age: 31","id: 3, title: Building geometry and metadata",31,3
644,2017-05-05 13:57:08.416532+00:00,"[4, 3, 1, 2]",3,1,88,65,153,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 521, experienced: False, age: 21","id: 3, title: Building geometry and metadata",21,3
431,2017-05-04 09:10:46.239646+00:00,"[4, 1, 2, 3]",3,3,120,34,154,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4]","id: 413, experienced: False, age: 52","id: 3, title: Building geometry and metadata",52,3
471,2017-05-04 12:56:27.313285+00:00,"[4, 2, 3, 1]",3,2,106,48,154,4,6,10,"[15, 16, 17, 19]","[15, 16, 17, 18, 19, 20]","id: 431, experienced: False, age: 21","id: 3, title: Building geometry and metadata",21,3
472,2017-05-04 12:59:25.252009+00:00,"[4, 2, 1, 3]",3,3,94,60,154,5,5,10,"[9, 10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 430, experienced: False, age: 20","id: 3, title: Building geometry and metadata",20,3
336,2017-05-03 17:35:13.175004+00:00,"[4, 3, 2, 1]",3,1,95,62,157,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 6]","id: 337, experienced: False, age: 24","id: 3, title: Building geometry and metadata",24,3
795,2017-05-08 16:43:08.928207+00:00,"[4, 3, 2, 1]",3,1,83,75,158,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 593, experienced: False, age: 21","id: 3, title: Building geometry and metadata",21,3
